mode,buf,size_mb,write_sec,read_sec,write_calls,read_calls
stdio_char,1,0,3.0584e-05,6.5357e-05,0,0
stdio_buf,512,0,6.184e-06,5.414e-06,,0
stdio_buf,4096,0,4.385e-06,4.014e-06,,0
stdio_buf,65536,0,6.183e-06,4.965e-06,,0
sys,512,0,0.00702131,1.9473e-05,0,0
sys,4096,0,0.00555643,1.411e-05,0,0
sys,65536,0,0.0058583,1.7195e-05,0,0
